Australia,,Pacific Ocean
"Bismark Archipelago (New Ireland, New Britain, Bougainville, Admiralty Islands)",,Pacific Ocean
Chatham Islands,,Pacific Ocean
"Cook Islands (Rarotonga, Aitutaki, Penrhyn)",,Pacific Ocean
Easter Island,,Pacific Ocean
Fiji Islands,,Pacific Ocean
"French Polynesia (Tahiti,Tuamotu, Austral, Gambier)",,Pacific Ocean
Galapagos Islands,,Pacific Ocean
Guam,,Pacific Ocean
Hawaiian Islands,,Pacific Ocean
Juan Fernandez Islands (Robinson Crusoe Island),,Pacific Ocean
"Kiribati (Gilberts,Tarawa, Ocean Island)",,Pacific Ocean
"Line/Phoenix Islands (Palmyra, Fanning, Christmas, Canton, Enderbury, Howland)",,Pacific Ocean
Lord Howe Island,,Pacific Ocean
Marquesas Islands,,Pacific Ocean
"Marshall Islands, Republic of (Majuro, Kwajalein, Eniwetok)",,Pacific Ocean
"Micronesia, Fed.States of (Pohnpei, Kosrae, Chuuk,Yap,Caroline Islands)",,Pacific Ocean
Midway Island,,Pacific Ocean
Nauru,,Pacific Ocean
"New Caledonia & Deps. (Noumea, Loyalty Islands)",,Pacific Ocean
New Zealand,,Pacific Ocean
Niue,,Pacific Ocean
Norfolk Island,,Pacific Ocean
"Northern Marianas (Saipan, Tinian)",,Pacific Ocean
"Ogasawara (Bonin, Volcano Island, Iwo Jima)",,Pacific Ocean
"Palau, Republic of",,Pacific Ocean
Papua New Guinea,,Pacific Ocean
Pitcairn Island,,Pacific Ocean
Ryukyu Islands (Okinawa),,Pacific Ocean
"Samoa, American (Pago Pago)",,Pacific Ocean
Samoa (Apia),,Pacific Ocean
"Solomon Islands (Guadalcanal, New Georgia,Tulagi)",,Pacific Ocean
Tasmania,,Pacific Ocean
"Tokelau Islands (Fakaofu, Atafu, Union)",,Pacific Ocean
Tonga (Nukualofa),,Pacific Ocean
"Tuvalu (Ellice Island, Funafuti, Vaitapu)",,Pacific Ocean
Vanuatu (New Hebrides Islands),,Pacific Ocean
Wake Island,,Pacific Ocean
Wallis & Futuna Islands,,Pacific Ocean
Alaska,,North America
Canada,1,North America
Mexico,,North America
Prince Edward Island,,North America
